SNr;WallId;DateOfAction;TotalPosts;TotalComments;TotalLikes;TotalSharers;TotalCommentLikes;TotalCommentReplies;TotalCommentReplyLikes;PostsbyAdmin;CommentsbyAdmin;LikesByAdmin;LikesOnAdminPosts;CommentsOnAdminPosts;LikesOnAdminComments;NonAdminPosts;NonAdminComments;LikesOnNonAdminPosts;LikesOnNonAdminComments;NonAdminCommentLikes;TotalUniqueActors;totaluniquePosters;TotalUniqueCommenters;TotalUniqueLikers;TotalUniqueCommentLikers;TotalUniqueCommentRepliers;TotalUniqueCommentReplyLikers
133;612861008745063;2015-11-24;2;68;1354;208;6;2;4;4;20;1;1354;68;0;44;68;761;6;6;657;1;30;622;3;1;2
134;612861008745063;2015-11-25;1;236;3110;478;18;28;4;6;9;3;3110;236;0;30;236;20;18;18;1424;1;107;1316;9;12;2
135;612861008745063;2015-11-26;3;122;1528;146;6;4;3;4;5;1;1528;122;0;31;122;49;6;6;691;1;57;633;3;2;2
136;612861008745063;2015-11-27;2;244;3930;736;38;4;1;4;7;1;3930;244;0;23;244;12;38;38;1914;1;109;1817;11;2;1
137;612861008745063;2015-11-30;1;147;2468;760;74;68;6;1;8;4;2468;147;0;36;147;65;74;74;2632;1;141;2468;40;42;6
138;612861008745063;2015-12-01;3;64;778;117;5;6;1;1;11;2;778;64;0;34;64;43;5;5;828;1;52;778;4;6;1
139;612861008745063;2015-12-02;1;48;589;48;2;1;0;1;1;1;589;48;0;23;48;24;2;2;625;1;44;589;2;1;0
140;612861008745063;2015-12-03;2;55;620;123;7;9;3;1;9;3;620;55;0;23;55;88;7;7;666;1;50;620;4;7;2
141;612861008745063;2015-12-04;1;70;1223;122;1;2;2;2;14;1;1223;70;0;22;70;14;1;1;1118;1;62;1067;1;2;2
142;612861008745063;2015-12-05;2;165;2273;251;6;22;17;4;3;4;2239;158;0;13;165;34;6;6;1539;12;110;1442;4;12;10
143;612861008745063;2015-12-08;2;184;2588;368;20;20;4;4;9;0;2588;184;0;21;184;6;20;20;1191;1;75;1126;9;8;2
144;612861008745063;2015-12-09;1;1106;15506;2996;414;248;80;8;2;2;15506;1106;0;28;1106;11;414;414;7002;1;465;6531;160;89;24
145;612861008745063;2015-12-10;2;280;4570;244;16;37;36;4;6;3;4342;274;0;18;280;228;16;16;2328;17;119;2207;5;13;8
146;612861008745063;2015-12-11;1;236;1880;260;28;8;12;2;14;1;1880;236;0;17;236;4;28;28;1036;1;98;940;8;4;4
147;612861008745063;2015-12-12;1;27;91;1;0;0;0;2;2;3;39;26;0;18;25;91;0;0;104;18;25;88;0;0;0
148;612861008745063;2015-12-14;4;3;95;12;1;13;9;2;3;2;78;3;0;37;3;17;1;1;114;31;1;84;1;10;6
149;612861008745063;2015-12-15;4;208;2996;372;28;24;4;4;10;5;2996;208;0;35;208;31;28;28;1487;1;95;1380;12;11;2
150;612861008745063;2015-12-17;1;72;2840;496;5;10;16;2;0;1;2840;72;0;22;72;20;5;5;1467;1;36;1420;5;5;8
151;612861008745063;2015-12-18;2;248;2736;510;14;4;5;4;7;0;2736;248;0;1;248;9;14;14;1312;2;101;1217;5;2;5
152;612861008745063;2015-12-19;1;216;3182;1144;6;12;4;6;30;1;3180;214;0;15;216;2;6;6;1354;13;92;1279;3;3;2
153;612861008745063;2015-12-21;2;72;1528;88;20;8;4;2;20;1;1528;72;0;31;72;27;20;20;799;1;34;764;8;4;2
154;612861008745063;2015-12-22;2;142;4054;470;14;24;12;4;30;2;4054;142;0;34;142;14;14;14;1940;1;63;1883;12;11;5
155;612861008745063;2015-12-23;2;335;5720;622;36;34;38;4;15;3;3562;256;0;19;335;2158;36;36;2822;16;155;2660;15;15;18
156;612861008745063;2015-12-24;2;208;2956;416;6;40;22;4;10;4;2956;208;0;15;208;39;6;6;1387;1;88;1288;3;17;6
157;612861008745063;2015-12-25;1;5;11;0;23;4;3;1;4;4;752;51;0;9;1;11;23;6;18;9;2;8;2;2;3
158;612861008745063;2015-12-26;1;118;1332;60;363;6;1;2;15;2;1332;118;0;14;118;7;363;236;719;1;58;666;231;3;1
159;612861008745063;2015-12-28;1;152;2016;300;38;38;18;2;12;2;2016;152;0;20;152;23;38;38;1089;1;71;1008;8;13;5
160;612861008745063;2015-12-29;2;106;1248;102;8;4;8;2;16;1;1248;106;0;23;106;1;8;8;667;1;46;624;2;2;6
